Date,Open,High,Low,Close,Adj Close,Volume
2014-01-06,63.200001,64.980003,62.549999,62.919998,46.735222,2506550
2014-01-08,62.970001,65.000000,62.610001,65.000000,48.280190,1687240
2014-01-09,64.639999,65.199997,64.639999,65.070000,48.332184,1962760
2014-01-10,65.019997,65.430000,64.750000,65.300003,48.503025,2529910
2014-01-13,65.250000,65.459999,64.559998,65.199997,48.428741,935420
2014-01-14,65.059998,65.300003,64.580002,64.809998,48.139061,1410050
2014-01-15,65.239998,65.300003,64.680000,65.000000,48.280190,2672500
2014-01-16,64.900002,65.120003,64.639999,64.699997,48.057358,1685050
2014-01-17,65.320000,65.449997,64.050003,64.500000,47.908802,1682480
2014-01-20,64.279999,65.070000,63.410000,63.660000,47.284874,1336290
2014-01-21,64.389999,64.699997,63.700001,64.199997,47.685974,1567770
2014-01-22,64.209999,64.250000,63.299999,63.599998,47.240307,1083340
2014-01-23,63.700001,64.250000,63.410000,64.000000,47.537418,1479180
2014-01-24,63.720001,64.099998,62.000000,62.450001,46.386120,3929840
2014-01-27,62.000000,62.779999,60.549999,61.990002,46.044449,2928340
2014-01-28,61.750000,63.750000,61.160000,62.310001,46.282135,3830630
2014-01-29,63.099998,63.799999,62.349998,63.299999,47.017475,2525530
2014-01-30,63.450001,63.799999,61.000000,61.000000,45.309105,5667870
2014-01-31,61.200001,61.799999,60.150002,61.799999,45.903316,3809160
2014-02-03,61.610001,62.220001,60.980000,61.000000,45.309105,840940
2014-02-04,61.150002,61.169998,60.470001,60.880001,45.219967,539110
2014-02-05,60.650002,62.709999,59.779999,62.410000,46.356415,2481150
2014-02-06,62.660000,65.019997,61.689999,64.959999,48.250481,3331600
2014-02-07,64.980003,65.139999,62.509998,63.540001,47.195744,3816370
2014-02-10,63.750000,64.680000,62.599998,62.599998,46.497540,1031490
2014-02-11,62.990002,64.260002,62.849998,63.680000,47.299732,972820
2014-02-12,63.599998,64.300003,62.509998,62.619999,46.512394,1875990
2014-02-13,63.000000,64.230003,62.790001,63.900002,47.463139,2427220
2014-02-14,64.099998,65.790001,63.930000,65.790001,48.866982,2617100
2014-02-17,66.449997,66.449997,64.820000,65.330002,48.525307,9278240
2014-02-18,65.300003,65.599998,64.860001,65.300003,48.503025,2389160
2014-02-19,65.019997,65.699997,64.919998,65.269997,48.480736,2640710
2014-02-20,65.019997,65.269997,63.950001,63.950001,47.500278,2816070
2014-02-21,64.260002,65.269997,64.139999,65.269997,48.480736,1801470
2014-02-24,65.300003,65.699997,64.910004,65.250000,48.465881,3723440
2014-02-25,65.250000,65.500000,64.900002,65.150002,48.391602,2341670
2014-02-26,65.290001,65.339996,63.750000,64.099998,47.611694,5511320
2014-02-27,64.050003,65.410004,63.849998,64.000000,47.537418,9252410
2014-02-28,62.939999,65.500000,62.000000,62.849998,46.683231,11844470
2014-03-03,61.000000,61.990002,53.000000,57.000000,42.338013,14275640
2014-03-04,56.520000,61.970001,56.029999,56.500000,41.966625,9355500
2014-03-05,57.490002,59.520000,56.450001,58.990002,43.816132,9497190
